Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?node=SEARCHRESULTS&q=EXR.D.E5.PLN.EN00.A
,EXR.D.E5.PLN.EN00.A
,"ECB Nominal effective exch. rate of the Polish zloty against, EER-19 group of trading partners: AU,CA,DK,HK,JP,NO,SG,KR,SE,CH,GB,US,EA and BG,CZ,HU,PL,RO,CN,HR excluding the Polish zloty"
Collection:,Average of observations through period (A)
Period\Unit:,[99Q1=100]
2018-05-18,97.2384
2018-05-17,97.3656
2018-05-16,97.3685
2018-05-15,97.6688
2018-05-14,98.2653
2018-05-11,98.2397
2018-05-10,98.5026
2018-05-09,98.0594
2018-05-08,97.7922
2018-05-07,98.4636
2018-05-04,98.5487
2018-05-03,98.3973
2018-05-02,98.1524
2018-05-01,-
2018-04-30,99.3147
2018-04-27,99.5125
2018-04-26,99.1324
2018-04-25,99.4649
2018-04-24,100.0163
2018-04-23,100.2928
2018-04-20,100.8542
2018-04-19,100.9141
2018-04-18,100.8684
2018-04-17,100.9722
2018-04-16,100.9549
2018-04-13,100.5308
2018-04-12,100.3820
2018-04-11,100.3202
2018-04-10,100.2389
2018-04-09,100.1399
2018-04-06,99.9672
2018-04-05,99.8439
2018-04-04,99.9021
2018-04-03,99.7826
2018-04-02,-
2018-03-30,-
2018-03-29,99.7899
2018-03-28,100.0063
2018-03-27,99.6691
2018-03-26,99.4079
2018-03-23,99.4409
2018-03-22,99.4940
2018-03-21,99.1128
2018-03-20,99.3208
2018-03-19,99.6228
2018-03-16,99.6144
2018-03-15,99.7969
2018-03-14,100.1029
2018-03-13,99.9198
2018-03-12,100.0532
2018-03-09,100.0760
2018-03-08,100.2798
2018-03-07,100.4803
2018-03-06,100.7194
2018-03-05,100.3548
2018-03-02,100.2947
2018-03-01,100.2647
2018-02-28,100.4431
2018-02-27,100.8098
2018-02-26,100.7072
2018-02-23,100.7132
2018-02-22,100.4461
2018-02-21,101.0341
2018-02-20,101.3362
2018-02-19,101.4471
2018-02-16,101.2074
2018-02-15,101.4274
2018-02-14,100.8079
2018-02-13,100.6500
2018-02-12,100.5666
2018-02-09,100.2066
2018-02-08,100.6035
2018-02-07,100.9478
2018-02-06,100.8518
2018-02-05,101.1298
2018-02-02,101.2512
2018-02-01,101.1773
2018-01-31,101.2597
2018-01-30,101.3994
2018-01-29,101.3589
2018-01-26,101.4720
2018-01-25,101.3016
2018-01-24,101.0867
2018-01-23,100.7614
2018-01-22,100.7157
2018-01-19,100.7277
2018-01-18,100.8226
2018-01-17,100.7213
2018-01-16,100.7959
2018-01-15,100.9455
2018-01-12,100.6713
2018-01-11,100.4024
2018-01-10,100.2628
2018-01-09,100.2315
2018-01-08,100.5706
2018-01-05,101.0022
2018-01-04,101.0353
2018-01-03,100.7111
2018-01-02,100.8208
2018-01-01,-
2017-12-29,100.4204
2017-12-28,100.3104
2017-12-27,100.1516
2017-12-26,-
2017-12-25,-
2017-12-22,99.9034
2017-12-21,99.9125
2017-12-20,99.7109
2017-12-19,99.8260
2017-12-18,99.6112
2017-12-15,99.3801
2017-12-14,99.3286
2017-12-13,99.3201
2017-12-12,99.6204
2017-12-11,99.7355
2017-12-08,99.6216
2017-12-07,99.4623
2017-12-06,99.4659
2017-12-05,99.8022
2017-12-04,99.7747
2017-12-01,99.5816
2017-11-30,99.9207
2017-11-29,99.7168
2017-11-28,99.7260
2017-11-27,99.7959
2017-11-24,99.5739
2017-11-23,99.4428
2017-11-22,99.2963
2017-11-21,98.9716
2017-11-20,99.0748
2017-11-17,99.0544
2017-11-16,98.9880
2017-11-15,98.8690
2017-11-14,98.8952
2017-11-13,98.7471
2017-11-10,98.7813
2017-11-09,98.6524
2017-11-08,98.5695
2017-11-07,98.3795
2017-11-06,98.4302
2017-11-03,98.6371
2017-11-02,98.5894
2017-11-01,98.5446
2017-10-31,98.4233
2017-10-30,98.4091
2017-10-27,98.4260
2017-10-26,98.8911
2017-10-25,98.9228
2017-10-24,98.7417
2017-10-23,99.0184
2017-10-20,98.9227
2017-10-19,98.8793
2017-10-18,98.9732
2017-10-17,98.8890
2017-10-16,98.7087
2017-10-13,98.3598
2017-10-12,98.1308
2017-10-11,97.7680
2017-10-10,97.5005
2017-10-09,97.1638
2017-10-06,97.2304
2017-10-05,97.3281
2017-10-04,97.4210
2017-10-03,97.1306
2017-10-02,97.0432
2017-09-29,97.3412
2017-09-28,97.0841
2017-09-27,97.2068
2017-09-26,97.7076
2017-09-25,98.1608
2017-09-22,98.2992
2017-09-21,97.9340
2017-09-20,98.1229
2017-09-19,98.0654
2017-09-18,97.7401
2017-09-15,97.9846
2017-09-14,97.7745
2017-09-13,98.0465
2017-09-12,98.5054
2017-09-11,98.8851
2017-09-08,98.6719
2017-09-07,98.8318
2017-09-06,98.8729
2017-09-05,98.9724
2017-09-04,98.8738
2017-09-01,98.9497
2017-08-31,98.4818
2017-08-30,98.5678
2017-08-29,98.6374
2017-08-28,98.6390
2017-08-25,98.4511
2017-08-24,98.0875
2017-08-23,97.8893
2017-08-22,97.8846
2017-08-21,98.0301
2017-08-18,97.8359
2017-08-17,98.2818
2017-08-16,97.9649
2017-08-15,97.9308
2017-08-14,97.9396
2017-08-11,97.7073
2017-08-10,98.0016
2017-08-09,98.1292
2017-08-08,98.6014
2017-08-07,98.6840
2017-08-04,99.0087
2017-08-03,98.7251
2017-08-02,98.5957
2017-08-01,98.4768
2017-07-31,98.4904
2017-07-28,98.5319
2017-07-27,98.2933
2017-07-26,98.0850
2017-07-25,98.2256
2017-07-24,98.5189
2017-07-21,98.6852
2017-07-20,98.9949
2017-07-19,98.9568
2017-07-18,99.2553
2017-07-17,98.9472
2017-07-14,98.7208
2017-07-13,98.3879
2017-07-12,98.2916
2017-07-11,98.1924
2017-07-10,98.4327
2017-07-07,98.5175
2017-07-06,98.1001
2017-07-05,97.9959
2017-07-04,98.1369
2017-07-03,98.2942
2017-06-30,98.5693
2017-06-29,98.1101
2017-06-28,98.3735
2017-06-27,98.7107
2017-06-26,98.6489
2017-06-23,98.1204
2017-06-22,97.9563
2017-06-21,97.9697
2017-06-20,98.1432
2017-06-19,98.5276
2017-06-16,98.3459
2017-06-15,98.4674
2017-06-14,98.8698
2017-06-13,98.9806
2017-06-12,99.1403
2017-06-09,98.9960
2017-06-08,98.6634
2017-06-07,99.0087
2017-06-06,98.8907
2017-06-05,99.2542
2017-06-02,99.0679
2017-06-01,99.2757
2017-05-31,99.5579
2017-05-30,99.4116
2017-05-29,99.3445
2017-05-26,99.2727
2017-05-25,99.3663
2017-05-24,99.2026
2017-05-23,98.9753
2017-05-22,99.1511
2017-05-19,98.8451
2017-05-18,98.2248
2017-05-17,99.0446
2017-05-16,98.6893
2017-05-15,98.2158
2017-05-12,97.9044
2017-05-11,97.7026
2017-05-10,97.8889
2017-05-09,97.8321
2017-05-08,98.3823
2017-05-05,98.0881
2017-05-04,98.1606
2017-05-03,98.5548
2017-05-02,98.1555
2017-05-01,-
2017-04-28,97.8546
2017-04-27,97.7741
2017-04-26,97.7467
2017-04-25,97.6184
2017-04-24,97.1782
2017-04-21,96.1747
2017-04-20,96.5688
2017-04-19,96.9998
2017-04-18,96.9442
2017-04-17,-
2017-04-14,-
2017-04-13,96.6570
2017-04-12,96.5534
2017-04-11,96.7979
